,Phenotype,o_1,o_2,o_3,o_4
44,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
45,x[6] += 1.1,0.6321599781513214,1.3768415556114633e-05,0.1111111111111111,0.17205218970775604
46,x[4] += 5,10000.0,10000.0,10000.0,10000.0
47,x[3] -= 2,10000.0,10000.0,10000.0,10000.0
48,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
49,x[3] += 1,0.6337707042694092,0.0555555559694767,0.1111111111111111,0.13943864405155182
50,x[7] -= 8 ; x[7] -= 3 ; x[7] -= 8 ; x[7] += 2 ; x[5] += 1 ; x[5] -= 5,10000.0,10000.0,10000.0,10000.0
51,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
52,x[7] -= 3 ; x[7] -= 9 ; x[7] -= 8,0.5025746524333954,0.06172839552164078,0.1111111111111111,0.16851501166820526
53,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
54,x[7] += 9 ; x[5] -= 8,10000.0,10000.0,10000.0,10000.0
55,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
56,x[3] += 1,0.6337707042694092,0.0555555559694767,0.1111111111111111,0.13943864405155182
57,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
58,x[6] += 0.2,0.6321898996829987,0.0,0.0,0.1720423549413681
59,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
60,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
61,x[7] -= 8 ; x[7] -= 7,0.5306887626647949,0.04629629850387573,0.1111111111111111,0.15749208629131317
62,x[6] += 0.6,0.6321898996829987,0.0,0.0,0.1720423549413681
63,x[6] += 0.9,0.6321898996829987,0.0,0.0,0.1720423549413681
64,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
65,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
66,x[3] -= 4,10000.0,10000.0,10000.0,10000.0
67,x[2] -= 8,10000.0,10000.0,10000.0,10000.0
68,x[7] -= 8 ; x[0] -= 4 ; x[6] -= 2 ; x[6] -= 1.2 ; x[1] ^= 1 ; x[1] ^= 1,0.6043073534965515,0.04494845122098923,0.3333333333333333,0.1724744290113449
69,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
70,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
71,x[3] += 1,0.6337707042694092,0.0555555559694767,0.1111111111111111,0.13943864405155182
72,x[0] -= 4,0.6532111763954163,0.020202020183205605,0.1111111111111111,0.18837106227874756
73,x[6] += 1,0.6321599781513214,1.3768415556114633e-05,0.1111111111111111,0.17205218970775604
74,x[2] += 4,10000.0,10000.0,10000.0,10000.0
75,x[7] -= 5 ; x[6] -= 0.9 ; x[7] -= 4,0.5686015784740448,0.027791546657681465,0.2222222222222222,0.15484069287776947
76,x[4] += 6,10000.0,10000.0,10000.0,10000.0
77,x[6] -= 0.4,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
78,x[6] += 1,0.6321599781513214,1.3768415556114633e-05,0.1111111111111111,0.17205218970775604
79,x[3] += 1,0.6337707042694092,0.0555555559694767,0.1111111111111111,0.13943864405155182
80,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
81,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
82,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
83,x[7] -= 9 ; x[7] -= 8,0.5194564759731293,0.05246913805603981,0.1111111111111111,0.16190125048160553
84,x[7] += 4,0.6629938185214996,0.012345679104328156,0.1111111111111111,0.1839640587568283
85,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
86,x[6] += 0.4,0.6321898996829987,0.0,0.0,0.1720423549413681
